design,folder,part_a_source,part_b_source,printer,file_type,file_name,sku,theme,print_time_h,objects_pre_merge,color_changes,model_material_g,total_material_g,colors_used,per_color_g,time_add_per_wig_min,filament_per_unit_g,time_per_gram_min,waste_per_unit_g,throughput_wig_day,plate_utilization_pct,object_area_mm2,available_area_mm2,bed_area_mm2,exclusion_area_mm2,calibration_area_mm2,calibration_estimated,prime_tower_bbox,prime_tower_area_mm2,objects_on_plate,total_layers,print_height_mm,effective_layer_height_mm,variable_layer_height,layer_height_min_mm,layer_height_max_mm,layer_height_mean_mm,travel_distance_mm,travel_moves,travel_ratio_pct,retractions,z_hops,layers_gcode,total_extruded_filament_mm,feature_mix_pct,feature_filament_mm,prime_tower_filament_mm,support_filament_mm,outer_wall_loops,tool_changes_gcode,outer_loops_per_layer,layer_time_min_mean,layer_time_min_max,object_count_gcode,object_filament_mm_mean,object_filament_mm_min,object_filament_mm_max,color_changes_per_layer
X1C_CalicoCat_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_CalicoCat_Farm,X1C_CalicoCat_Farm_Data.tsv,X1C_CalicoCat_Farm_Full.gcode.3mf,X1C,Standard,CalicoCat_Farm,,Farm,34.22,75,206,348.93,462.51,4,"[{""grams"": 277.94, ""color"": ""Esun Cold White""}, {""grams"": 80.2, ""color"": ""Esun Black""}, {""grams"": 102.46, ""color"": ""Esun Orange""}, {""grams"": 1.91, ""color"": ""Esun Pink""}]",21.82,4.65,5.88,1.51,52.6,72.6,44629.2,61507.0,65536.0,504.0,3192.0,False,"[30.56, 15.0, 48.56, 33.5]",333.0,38,101,19.77,0.196,True,0.136,0.2,0.173,3341906.9,1480028,48.3,1270896,208630,101,299508.1,"{""outer_wall"": 41.0, ""inner_wall"": 25.8, ""infill"": 19.1, ""prime_tower"": 13.2, ""bridge"": 0.8, ""overhang"": 0.1, ""other"": 0.0}","{""other"": 141.6, ""inner_wall"": 77316.7, ""outer_wall"": 122876.0, ""infill"": 57089.9, ""prime_tower"": 39604.5, ""overhang"": 179.0, ""bridge"": 2300.4}",39604.5,0.0,90679,209,897.8,20.43,51.0,38,6840.1,3448.9,6962.6,2.04
X1C_Chicken_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Chicken_Farm,X1C_Chicken_Farm_Data.tsv,X1C_Chicken_Farm_Full.gcode.3mf,X1C,Standard,Chicken_Farm,,Farm,28.92,129,73,405.18,447.15,4,"[{""grams"": 417.47, ""color"": ""Esun Cold White""}, {""grams"": 8.17, ""color"": ""Esun Black""}, {""grams"": 10.98, ""color"": ""Esun Gold""}, {""grams"": 10.53, ""color"": ""Esun Red""}]",12.21,3.14,4.28,0.33,107.1,78.9,48375.0,61330.0,65536.0,504.0,3192.0,False,"[29.36, 14.75, 59.36, 31.75]",510.0,64,122,22.65,0.186,True,0.08,0.2,0.178,2026156.5,1132648,33.9,949930,155972,122,242959.5,"{""outer_wall"": 41.3, ""infill"": 28.4, ""inner_wall"": 23.8, ""prime_tower"": 6.0, ""bridge"": 0.4, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 57732.3, ""outer_wall"": 100297.8, ""infill"": 69111.6, ""prime_tower"": 14666.2, ""overhang"": 66.5, ""bridge"": 943.5}",14666.2,0.0,74992,76,614.7,14.26,64.0,64,3565.4,1756.6,5351.6,0.6
X1C_Cow_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Cow_Farm,X1C_Cow_Farm_Data.tsv,X1C_Cow_Farm_Full.gcode.3mf,X1C,Standard,Cow_Farm,,Farm,38.23,103,262,388.75,503.27,4,"[{""grams"": 346.52, ""color"": ""Esun Cold White""}, {""grams"": 54.0, ""color"": ""Esun Black""}, {""grams"": 69.69, ""color"": ""Esun Brown""}, {""grams"": 33.06, ""color"": ""Esun Pink""}]",17.49,3.77,5.9,1.11,64.7,76.0,46585.8,61285.0,65536.0,504.0,3192.0,False,"[30.23, 15.0, 60.23, 33.5]",555.0,52,117,20.64,0.176,True,0.112,0.2,0.163,3780136.2,1674203,47.3,1289513,241992,117,338886.9,"{""outer_wall"": 44.6, ""inner_wall"": 25.7, ""infill"": 17.1, ""prime_tower"": 11.9, ""bridge"": 0.6, ""overhang"": 0.1, ""other"": 0.0}","{""other"": 141.6, ""inner_wall"": 87057.4, ""outer_wall"": 151065.5, ""infill"": 57939.6, ""prime_tower"": 40332.0, ""overhang"": 394.7, ""bridge"": 1956.1}",40332.0,0.0,101135,265,864.4,19.71,54.0,52,5741.9,2900.0,5811.4,2.24
X1C_BarnOwl_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_BarnOwl_Farm,X1C_BarnOwl_Farm_Data.tsv,X1C_BarnOwl_Farm_Full.gcode.3mf,X1C,Standard,BarnOwl_Farm,,Farm,26.6,49,155,322.43,384.06,4,"[{""grams"": 71.66, ""color"": ""Esun Cold White""}, {""grams"": 10.03, ""color"": ""Esun Black""}, {""grams"": 234.34, ""color"": ""Esun Bone White""}, {""grams"": 68.03, ""color"": ""Esun Yellow""}]",26.98,6.58,4.95,1.26,44.2,74.4,45646.5,61352.5,65536.0,504.0,3192.0,False,"[29.68, 15.0, 59.68, 31.25]",487.5,49,85,15.07,0.177,True,0.11,0.205,0.164,2110795.3,1021200,39.5,832074,140046,85,212294.7,"{""outer_wall"": 38.5, ""infill"": 28.2, ""inner_wall"": 22.9, ""prime_tower"": 10.3, ""bridge"": 0.1, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 48633.9, ""outer_wall"": 81703.1, ""infill"": 59808.2, ""prime_tower"": 21766.5, ""overhang"": 4.8, ""bridge"": 236.7}",21766.5,0.0,62463,158,734.9,18.87,48.0,49,3887.2,1994.4,3993.6,1.82
X1C_Bee_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Bee_Farm,X1C_Bee_Farm_Data.tsv,X1C_Bee_Farm_Full.gcode.3mf,X1C,Standard,Bee_Farm,,Farm,30.42,106,127,320.06,389.42,3,"[{""grams"": 77.25, ""color"": ""Esun Cold White""}, {""grams"": 110.36, ""color"": ""Esun Black""}, {""grams"": 201.81, ""color"": ""Esun Yellow""}]",14.7,3.02,5.7,0.65,83.6,73.4,44952.8,61277.5,65536.0,504.0,3192.0,False,"[29.8, 15.0, 74.8, 27.5]",562.5,54,90,15.82,0.176,True,0.08,0.2,0.144,2664502.9,1279371,44.2,1057910,183624,90,256699.3,"{""outer_wall"": 41.6, ""inner_wall"": 24.2, ""infill"": 23.8, ""prime_tower"": 9.4, ""bridge"": 0.8, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 62131.0, ""outer_wall"": 106913.3, ""infill"": 61171.9, ""prime_tower"": 24162.9, ""overhang"": 7.7, ""bridge"": 2171.0}",24162.9,0.0,85067,130,945.2,20.4,74.0,54,4305.2,2189.5,4409.1,1.41
X1C_Bull_EPIC_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Bull_EPIC_Farm,X1C_Bull_EPIC_Farm_Data.tsv,X1C_Bull_EPIC_Farm_Full.gcode.3mf,X1C,Standard,Bull_EPIC_Farm,,RARE Farm,40.83,108,148,426.38,503.41,3,"[{""grams"": 31.31, ""color"": ""Sunlu Silk (White)""}, {""grams"": 327.26, ""color"": ""Esun Black""}, {""grams"": 144.84, ""color"": ""Sunlu Silk (Light Gold)""}]",19.67,3.95,5.75,0.71,63.5,76.3,47013.8,61607.1,65536.0,504.0,3192.0,False,"[29.44, 15.0, 59.44, 22.76]",232.9,55,120,20.1,0.168,True,0.086,0.2,0.17,2731559.0,1275723,36.3,1001829,189731,120,295129.1,"{""outer_wall"": 42.2, ""infill"": 27.9, ""inner_wall"": 19.7, ""prime_tower"": 9.1, ""bridge"": 0.9, ""overhang"": 0.1, ""other"": 0.0}","{""other"": 141.6, ""inner_wall"": 58032.4, ""outer_wall"": 124636.5, ""infill"": 82320.4, ""prime_tower"": 26950.4, ""overhang"": 339.8, ""bridge"": 2708.0}",26950.4,0.0,100090,151,834.1,20.51,61.0,55,4874.7,2472.6,4965.4,1.23
X1C_Crow_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Crow_Farm,X1C_Crow_Farm_Data.tsv,X1C_Crow_Farm_Full.gcode.3mf,X1C,Standard,Crow_Farm,,Farm,34.2,132,65,400.23,427.71,3,"[{""grams"": 11.61, ""color"": ""Esun Cold White""}, {""grams"": 392.67, ""color"": ""Esun Black""}, {""grams"": 23.43, ""color"": ""Esun Gray""}]",14.56,3.03,5.13,0.21,92.6,81.0,49837.5,61511.0,65536.0,504.0,3192.0,False,"[29.44, 15.0, 52.94, 29.0]",329.0,64,152,23.17,0.152,True,0.08,0.2,0.154,2809360.2,1330171,37.4,1082512,179539,152,257416.5,"{""outer_wall"": 40.7, ""infill"": 33.8, ""inner_wall"": 21.4, ""prime_tower"": 3.8, ""bridge"": 0.3, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 54959.2, ""outer_wall"": 104748.6, ""infill"": 87100.7, ""prime_tower"": 9738.8, ""overhang"": 25.4, ""bridge"": 702.1}",9738.8,0.0,92174,68,606.4,13.53,65.0,64,3868.2,1894.8,5722.5,0.43
X1C_CuteDuck_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_CuteDuck_Farm,X1C_CuteDuck_Farm_Data.tsv,X1C_CuteDuck_Farm_Full.gcode.3mf,X1C,Standard,CuteDuck_Farm,,Farm,31.82,137,93,433.09,478.74,4,"[{""grams"": 19.42, ""color"": ""Esun Cold White""}, {""grams"": 12.12, ""color"": ""Esun Black""}, {""grams"": 30.41, ""color"": ""Esun Orange""}, {""grams"": 416.79, ""color"": ""Esun Yellow""}]",12.55,3.16,4.41,0.33,103.3,82.8,50888.2,61476.0,65536.0,504.0,3192.0,False,"[29.78, 15.0, 55.78, 29.0]",364.0,64,135,23.86,0.177,True,0.099,0.2,0.169,2571265.5,1213598,37.1,985650,167167,135,257679.3,"{""outer_wall"": 40.6, ""infill"": 30.9, ""inner_wall"": 21.6, ""prime_tower"": 6.2, ""bridge"": 0.5, ""overhang"": 0.1, ""other"": 0.1}","{""other"": 141.6, ""inner_wall"": 55717.6, ""outer_wall"": 104704.5, ""infill"": 79525.2, ""prime_tower"": 16075.1, ""overhang"": 179.6, ""bridge"": 1335.8}",16075.1,0.0,82495,96,611.1,14.19,60.0,64,3773.7,1774.3,5299.8,0.69
X1C_Donkey_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Donkey_Farm,X1C_Donkey_Farm_Data.tsv,X1C_Donkey_Farm_Full.gcode.3mf,X1C,Standard,Donkey_Farm,,Farm,37.35,114,202,437.15,519.82,4,"[{""grams"": 66.16, ""color"": ""Esun Cold White""}, {""grams"": 78.94, ""color"": ""Esun Black""}, {""grams"": 362.15, ""color"": ""Esun Gray""}, {""grams"": 12.57, ""color"": ""Esun Pink""}]",16.41,3.83,5.13,0.73,73.3,77.2,47467.2,61490.0,65536.0,504.0,3192.0,False,"[29.55, 15.0, 47.05, 35.0]",350.0,58,125,23.7,0.19,True,0.125,0.2,0.185,4020499.3,1752499,47.3,1351348,245923,125,339792.1,"{""outer_wall"": 38.0, ""inner_wall"": 27.7, ""infill"": 24.9, ""prime_tower"": 8.6, ""bridge"": 0.7, ""overhang"": 0.1, ""other"": 0.0}","{""other"": 141.6, ""inner_wall"": 94044.4, ""outer_wall"": 129144.1, ""infill"": 84628.0, ""prime_tower"": 29160.2, ""overhang"": 228.9, ""bridge"": 2444.9}",29160.2,0.0,111264,205,890.1,18.0,58.0,58,5355.8,2684.7,5457.5,1.62
X1C_FarmerBoy_Common_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_FarmerBoy_Common_Farm,X1C_FarmerBoy_Common_Farm_Data.tsv,X1C_FarmerBoy_Common_Farm_Full.gcode.3mf,X1C,Standard,FarmerBoy_Common_Farm,,Farm,32.33,95,187,339.03,414.28,4,"[{""grams"": 60.85, ""color"": ""Esun Cold White""}, {""grams"": 102.34, ""color"": ""Esun Brown""}, {""grams"": 98.27, ""color"": ""Esun Beige""}, {""grams"": 152.82, ""color"": ""Esun Dark Blue""}]",16.79,3.57,5.72,0.79,70.5,76.3,46649.2,61150.0,65536.0,504.0,3192.0,False,"[29.84, 15.0, 59.84, 38.0]",690.0,48,74,12.56,0.17,True,0.089,0.2,0.14,3012469.2,1274370,45.6,1028524,181648,74,264183.1,"{""outer_wall"": 37.8, ""infill"": 28.1, ""inner_wall"": 23.7, ""prime_tower"": 10.0, ""bridge"": 0.3, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 62689.6, ""outer_wall"": 99763.3, ""infill"": 74217.5, ""prime_tower"": 26545.5, ""overhang"": 4.0, ""bridge"": 821.7}",26545.5,0.0,79732,190,1077.5,26.47,75.0,48,4950.8,2525.1,5054.2,2.53
